ano_modelo,name,code_marca,code_modelos
1992-1,1992 Gasolina,1,1
1991-1,1991 Gasolina,1,1
1998-1,1998 Gasolina,1,2
1997-1,1997 Gasolina,1,2
1996-1,1996 Gasolina,1,2
1995-1,1995 Gasolina,1,2
1994-1,1994 Gasolina,1,2
1993-1,1993 Gasolina,1,2
1992-1,1992 Gasolina,1,2
1991-1,1991 Gasolina,1,2
1995-1,1995 Gasolina,1,3
1994-1,1994 Gasolina,1,3
1993-1,1993 Gasolina,1,3
1992-1,1992 Gasolina,1,3
1991-1,1991 Gasolina,1,3
2007-3,2007 Diesel,2,4
2006-3,2006 Diesel,2,4
2005-3,2005 Diesel,2,4
2004-3,2004 Diesel,2,4
2015-3,2015 Diesel,2,4564
2014-3,2014 Diesel,2,4564
2013-3,2013 Diesel,2,4564
2012-3,2012 Diesel,2,4564
2011-3,2011 Diesel,2,4564
2010-3,2010 Diesel,2,4564
2009-3,2009 Diesel,2,4564
2008-3,2008 Diesel,2,4564
2015-3,2015 Diesel,2,4563
2014-3,2014 Diesel,2,4563
2013-3,2013 Diesel,2,4563
2012-3,2012 Diesel,2,4563
2011-3,2011 Diesel,2,4563
2010-3,2010 Diesel,2,4563
2009-3,2009 Diesel,2,4563
2008-3,2008 Diesel,2,4563
2007-3,2007 Diesel,2,4563
2015-3,2015 Diesel,2,4566
2014-3,2014 Diesel,2,4566
2013-3,2013 Diesel,2,4566
2012-3,2012 Diesel,2,4566
2011-3,2011 Diesel,2,4566
2010-3,2010 Diesel,2,4566
2009-3,2009 Diesel,2,4566
2008-3,2008 Diesel,2,4566
2015-3,2015 Diesel,2,4565
2014-3,2014 Diesel,2,4565
2013-3,2013 Diesel,2,4565
2012-3,2012 Diesel,2,4565
2011-3,2011 Diesel,2,4565
2010-3,2010 Diesel,2,4565
2009-3,2009 Diesel,2,4565
2008-3,2008 Diesel,2,4565
32000-3,32000 Diesel,2,4567
2022-3,2022 Diesel,2,4567
2021-3,2021 Diesel,2,4567
2020-3,2020 Diesel,2,4567
2019-3,2019 Diesel,2,4567
2018-3,2018 Diesel,2,4567
2017-3,2017 Diesel,2,4567
2016-3,2016 Diesel,2,4567
2015-3,2015 Diesel,2,4567
2014-3,2014 Diesel,2,4567
2013-3,2013 Diesel,2,4567
2012-3,2012 Diesel,2,4567
2011-3,2011 Diesel,2,4567
2010-3,2010 Diesel,2,4567
2009-3,2009 Diesel,2,4567
2008-3,2008 Diesel,2,4567
2022-3,2022 Diesel,2,4568
2021-3,2021 Diesel,2,4568
2020-3,2020 Diesel,2,4568
2019-3,2019 Diesel,2,4568
2018-3,2018 Diesel,2,4568
2017-3,2017 Diesel,2,4568
2016-3,2016 Diesel,2,4568
2015-3,2015 Diesel,2,4568
2014-3,2014 Diesel,2,4568
2013-3,2013 Diesel,2,4568
2012-3,2012 Diesel,2,4568
2011-3,2011 Diesel,2,4568
2010-3,2010 Diesel,2,4568
2009-3,2009 Diesel,2,4568
2008-3,2008 Diesel,2,4568
2007-3,2007 Diesel,2,4568
2022-3,2022 Diesel,2,9352
2021-3,2021 Diesel,2,9352
32000-3,32000 Diesel,2,10568
2023-3,2023 Diesel,2,10568
32000-3,32000 Diesel,2,9353
2022-3,2022 Diesel,2,9353
2021-3,2021 Diesel,2,9353
32000-3,32000 Diesel,2,10569
2023-3,2023 Diesel,2,10569
2011-3,2011 Diesel,2,4569
2010-3,2010 Diesel,2,4569
2009-3,2009 Diesel,2,4569
2008-3,2008 Diesel,2,4569
1999-1,1999 Gasolina,3,5
1998-1,1998 Gasolina,3,5
1997-1,1997 Gasolina,3,5
1996-1,1996 Gasolina,3,5
1998-1,1998 Gasolina,3,6
1997-1,1997 Gasolina,3,6
1996-1,1996 Gasolina,3,6
1995-1,1995 Gasolina,3,6
1999-1,1999 Gasolina,3,7
1998-1,1998 Gasolina,3,7
1997-1,1997 Gasolina,3,7
1996-1,1996 Gasolina,3,7
1998-1,1998 Gasolina,3,8
1997-1,1997 Gasolina,3,8
1996-1,1996 Gasolina,3,8
2005-1,2005 Gasolina,3,9
2004-1,2004 Gasolina,3,9
2003-1,2003 Gasolina,3,9
1997-1,1997 Gasolina,3,10
1996-1,1996 Gasolina,3,10
1995-1,1995 Gasolina,3,10
1997-1,1997 Gasolina,3,11
1996-1,1996 Gasolina,3,11
1995-1,1995 Gasolina,3,11
2003-1,2003 Gasolina,3,12
1999-1,1999 Gasolina,3,12
2002-1,2002 Gasolina,3,13
2001-1,2001 Gasolina,3,13
2004-1,2004 Gasolina,3,14
2003-1,2003 Gasolina,3,14
2002-1,2002 Gasolina,3,15
2001-1,2001 Gasolina,3,15
2000-1,2000 Gasolina,3,15
1999-1,1999 Gasolina,3,15
1996-1,1996 Gasolina,3,16
1995-1,1995 Gasolina,3,16
1994-1,1994 Gasolina,3,16
1993-1,1993 Gasolina,3,16
1992-1,1992 Gasolina,3,16
1991-1,1991 Gasolina,3,16
1996-1,1996 Gasolina,3,17
1995-1,1995 Gasolina,3,17
2003-1,2003 Gasolina,3,18
2002-1,2002 Gasolina,3,18
2001-1,2001 Gasolina,3,18
2000-1,2000 Gasolina,3,18
1999-1,1999 Gasolina,3,18
1986-1,1986 Gasolina,3,19
1985-1,1985 Gasolina,3,19
1997-1,1997 Gasolina,3,20
1996-1,1996 Gasolina,3,20
1995-1,1995 Gasolina,3,20
1993-1,1993 Gasolina,3,20
1992-1,1992 Gasolina,3,20
1991-1,1991 Gasolina,3,20
2000-3,2000 Diesel,4,21
1999-3,1999 Diesel,4,21
1998-3,1998 Diesel,4,21
2000-3,2000 Diesel,4,22
1999-3,1999 Diesel,4,22
1998-3,1998 Diesel,4,22
2000-3,2000 Diesel,4,23
1999-3,1999 Diesel,4,23
1998-3,1998 Diesel,4,23
1998-3,1998 Diesel,5,24
1997-3,1997 Diesel,5,24
1996-3,1996 Diesel,5,24
1995-3,1995 Diesel,5,24
1994-3,1994 Diesel,5,24
1998-3,1998 Diesel,5,25
1997-3,1997 Diesel,5,25
1996-3,1996 Diesel,5,25
1995-3,1995 Diesel,5,25
1994-3,1994 Diesel,5,25
1998-3,1998 Diesel,5,26
1997-3,1997 Diesel,5,26
1996-3,1996 Diesel,5,26
1995-3,1995 Diesel,5,26
1994-3,1994 Diesel,5,26
1993-3,1993 Diesel,5,26
1998-3,1998 Diesel,5,27
1997-3,1997 Diesel,5,27
1996-3,1996 Diesel,5,27
1995-3,1995 Diesel,5,27
1994-3,1994 Diesel,5,27
1993-3,1993 Diesel,5,27
1997-3,1997 Diesel,5,28
1996-3,1996 Diesel,5,28
1995-3,1995 Diesel,5,28
1994-3,1994 Diesel,5,28
1995-3,1995 Diesel,5,29
1994-3,1994 Diesel,5,29
1999-3,1999 Diesel,5,30
1998-3,1998 Diesel,5,30
1997-3,1997 Diesel,5,30
1999-3,1999 Diesel,5,31
1998-3,1998 Diesel,5,31
1997-3,1997 Diesel,5,31
1999-3,1999 Diesel,5,32
1998-3,1998 Diesel,5,32
1997-3,1997 Diesel,5,32
1996-3,1996 Diesel,5,32
1998-1,1998 Gasolina,5,33
1997-1,1997 Gasolina,5,33
1996-1,1996 Gasolina,5,33
1995-1,1995 Gasolina,5,33
1999-1,1999 Gasolina,5,34
1998-1,1998 Gasolina,5,34
1997-1,1997 Gasolina,5,34
1996-1,1996 Gasolina,5,34
1995-1,1995 Gasolina,5,34
1994-1,1994 Gasolina,5,34
1998-1,1998 Gasolina,5,35
1997-1,1997 Gasolina,5,35
1996-1,1996 Gasolina,5,35
1995-1,1995 Gasolina,5,35
1994-1,1994 Gasolina,5,35
1993-1,1993 Gasolina,5,35
