code_marca_modelo,codeFipe,ano_modelo
1_1,038003-2,1992-1
1_1,038003-2,1991-1
1_2,038002-4,1998-1
1_2,038002-4,1997-1
1_2,038002-4,1996-1
1_2,038002-4,1995-1
1_2,038002-4,1994-1
1_2,038002-4,1993-1
1_2,038002-4,1992-1
1_2,038002-4,1991-1
1_3,038001-6,1995-1
1_3,038001-6,1994-1
1_3,038001-6,1993-1
1_3,038001-6,1992-1
1_3,038001-6,1991-1
10_258,041001-2,1995-1
10_258,041001-2,1994-1
10_258,041001-2,1993-1
10_258,041001-2,1992-1
10_258,041001-2,1991-1
10_259,041002-0,1996-1
10_259,041002-0,1995-1
10_259,041002-0,1994-1
10_259,041002-0,1993-1
10_259,041002-0,1992-1
10_259,041002-0,1991-1
11_260,042001-8,1995-3
11_260,042001-8,1994-3
11_260,042001-8,1993-3
11_260,042001-8,1992-3
11_260,042001-8,1991-3
11_260,042001-8,1990-3
11_260,042001-8,1989-3
11_260,042001-8,1988-3
12_261,010014-5,2001-1
12_261,010014-5,2000-1
12_261,010014-5,1999-1
12_261,010014-5,1998-1
12_262,010008-0,2000-1
12_262,010008-0,1999-1
12_262,010008-0,1998-1
12_262,010008-0,1997-1
12_262,010008-0,1996-1
12_262,010008-0,1995-1
12_262,010008-0,1994-1
12_262,010008-0,1993-1
12_263,010009-9,1999-1
12_263,010009-9,1998-1
12_263,010009-9,1997-1
12_264,010001-3,2001-1
12_264,010001-3,2000-1
12_264,010001-3,1999-1
12_264,010001-3,1998-1
12_264,010001-3,1997-1
12_264,010001-3,1996-1
12_264,010001-3,1995-1
12_264,010001-3,1994-1
12_264,010001-3,1993-1
12_265,010015-3,1995-1
12_266,010016-1,2006-1
12_266,010016-1,2005-1
12_266,010016-1,2004-1
12_266,010016-1,2003-1
12_266,010016-1,2002-1
12_266,010016-1,1996-1
12_266,010016-1,1995-1
12_266,010016-1,1994-1
12_266,010016-1,1993-1
12_267,010007-2,2001-1
12_267,010007-2,2000-1
12_267,010007-2,1999-1
12_267,010007-2,1998-1
12_267,010007-2,1997-1
12_267,010007-2,1996-1
12_267,010007-2,1995-1
12_267,010007-2,1994-1
12_267,010007-2,1993-1
12_268,010021-8,2007-1
12_268,010021-8,2006-1
12_268,010021-8,2005-1
12_268,010021-8,2004-1
12_268,010021-8,2003-1
12_268,010021-8,2002-1
12_269,010010-2,2001-1
12_269,010010-2,2000-1
12_269,010010-2,1999-1
12_269,010010-2,1998-1
12_270,010017-0,1993-1
12_270,010017-0,1992-1
12_271,010018-8,1995-1
12_271,010018-8,1994-1
12_271,010018-8,1993-1
12_271,010018-8,1992-1
12_272,010011-0,1999-1
12_272,010011-0,1998-1
12_272,010011-0,1997-1
12_273,010002-1,2001-1
12_273,010002-1,2000-1
12_273,010002-1,1999-1
12_273,010002-1,1998-1
12_273,010002-1,1997-1
12_273,010002-1,1996-1
12_273,010002-1,1995-1
12_273,010002-1,1994-1
12_274,010012-9,1999-1
12_274,010012-9,1998-1
12_274,010012-9,1997-1
12_274,010012-9,1996-1
12_274,010012-9,1995-1
12_274,010012-9,1994-1
12_275,010019-6,2004-1
12_275,010019-6,2003-1
12_275,010019-6,2002-1
12_275,010019-6,2001-1
12_276,010022-6,2009-1
12_276,010022-6,2008-1
12_276,010022-6,2007-1
12_276,010022-6,2006-1
12_276,010022-6,2005-1
12_277,010020-0,2003-1
12_277,010020-0,2002-1
12_277,010020-0,2001-1
12_278,010003-0,2001-1
12_278,010003-0,2000-1
12_278,010003-0,1999-1
12_278,010003-0,1998-1
12_278,010003-0,1997-1
12_278,010003-0,1996-1
12_279,010004-8,1998-1
12_279,010004-8,1997-1
12_279,010004-8,1996-1
12_280,010005-6,2000-1
12_280,010005-6,1999-1
12_280,010005-6,1998-1
12_280,010005-6,1997-1
12_280,010005-6,1996-1
12_280,010005-6,1995-1
12_281,010006-4,1999-1
12_281,010006-4,1998-1
12_281,010006-4,1997-1
12_281,010006-4,1996-1
12_282,010013-7,1995-1
12_282,010013-7,1994-1
